fighter,elo,record
Anthony Macias,1447.5181366532654,"{'December 16, 1994': {'opponent': 'Dan Severn', 'result': 0}, 'July 14, 1995': {'opponent': 'Oleg Taktarov', 'result': 0}}"
Dave Beneteau,1513.4465874960772,"{'April 07, 1995': {'opponent': 'Dan Severn', 'result': 0}, 'July 14, 1995': {'opponent': 'Oleg Taktarov', 'result': 0}, 'December 16, 1995': {'opponent': 'Oleg Taktarov', 'result': 0}, 'October 17, 1997': {'opponent': 'Carlos Barreto', 'result': 1}}"
Asbel Cancio,1470.939003057951,"{'April 07, 1995': {'opponent': 'Dave Beneteau', 'result': 0}}"
John Dowdy,1473.5612814962624,"{'April 07, 1995': {'opponent': 'Guy Mezger', 'result': 0}}"
Jon Hess,1532.0,"{'April 07, 1995': {'opponent': 'Andy Anderson', 'result': 1}}"
Andy Anderson,1470.939003057951,"{'April 07, 1995': {'opponent': 'Jon Hess', 'result': 0}}"
Joe Charles,1452.3916072828806,"{'April 07, 1995': {'opponent': 'Dan Severn', 'result': 0}, 'December 21, 1997': {'opponent': 'Vitor Belfort', 'result': 0}}"
Oleg Taktarov,1615.0620808229935,"{'April 07, 1995': {'opponent': 'Ernie Verdicia', 'result': 1}, 'July 14, 1995': {'opponent': 'Dave Beneteau', 'result': 1}, 'September 08, 1995': {'opponent': 'Ken Shamrock', 'result': 0.5}, 'December 16, 1995': {'opponent': 'Marco Ruas', 'result': 1}}"
Ernie Verdicia,1468.9207797866238,"{'April 07, 1995': {'opponent': 'Oleg Taktarov', 'result': 0}}"
Todd Medina,1507.9916880065327,"{'April 07, 1995': {'opponent': 'Larry Cureton', 'result': 1}}"
Larry Cureton,1445.1275557391004,"{'April 07, 1995': {'opponent': 'Todd Medina', 'result': 0}, 'September 08, 1995': {'opponent': 'Marco Ruas', 'result': 0}}"
Rudyard Moncayo,1476.2808670219201,"{'July 14, 1995': {'opponent': 'Patrick Smith', 'result': 0}}"
David Abbott,1491.8870813221465,"{'July 14, 1995': {'opponent': 'Oleg Taktarov', 'result': 0}, 'December 16, 1995': {'opponent': 'Dan Severn', 'result': 0}, 'September 20, 1996': {'opponent': 'Scott Ferrozzo', 'result': 0}, 'December 07, 1996': {'opponent': 'Cal Worsham', 'result': 1}, 'May 30, 1997': {'opponent': 'Vitor Belfort', 'result': 0}, 'October 17, 1997': {'opponent': 'Maurice Smith', 'result': 0}, 'December 21, 1997': {'opponent': 'Yoji Anjo', 'result': 1}, 'May 15, 1998': {'opponent': 'Hugo Duarte', 'result': 1}, 'October 16, 1998': {'opponent': 'Pedro Rizzo', 'result': 0}, 'February 28, 2003': {'opponent': 'Frank Mir', 'result': 0}, 'June 06, 2003': {'opponent': 'Kimo Leopoldo', 'result': 0}, 'November 21, 2003': {'opponent': 'Wesley Correira', 'result': 0}}"
John Matua,1470.939003057951,"{'July 14, 1995': {'opponent': 'David Abbott', 'result': 0}}"
Paul Varelans,1518.4471599138212,"{'July 14, 1995': {'opponent': 'David Abbott', 'result': 0}, 'September 08, 1995': {'opponent': 'Marco Ruas', 'result': 0}, 'December 16, 1995': {'opponent': 'Dan Severn', 'result': 0}, 'February 16, 1996': {'opponent': 'Joe Moreira', 'result': 1}, 'December 07, 1996': {'opponent': 'Kimo Leopoldo', 'result': 0}}"
Cal Worsham,1491.9589101014517,"{'July 14, 1995': {'opponent': 'Paul Varelans', 'result': 0}, 'May 17, 1996': {'opponent': 'Zane Frazier', 'result': 1}, 'December 07, 1996': {'opponent': 'David Abbott', 'result': 0}}"
Scott Bessac,1532.0,"{'September 08, 1995': {'opponent': 'David Hood', 'result': 1}}"
David Hood,1470.939003057951,"{'September 08, 1995': {'opponent': 'Scott Bessac', 'result': 0}}"
Ryan Parker,1473.7397442009567,"{'September 08, 1995': {'opponent': 'Remco Pardoel', 'result': 0}}"
Marco Ruas,1572.1776329930856,"{'September 08, 1995': {'opponent': 'Paul Varelans', 'result': 1}, 'December 16, 1995': {'opponent': 'Oleg Taktarov', 'result': 0}, 'July 16, 1999': {'opponent': 'Maurice Smith', 'result': 0}}"
Mark Hall,1513.5521090206823,"{'September 08, 1995': {'opponent': 'Harold Howard', 'result': 1}, 'May 17, 1996': {'opponent': 'Koji Kitao', 'result': 1}, 'July 12, 1996': {'opponent': 'Don Frye', 'result': 0}, 'December 07, 1996': {'opponent': 'Don Frye', 'result': 0}}"
Gerry Harris,1473.7397442009567,"{'September 08, 1995': {'opponent': 'Paul Varelans', 'result': 0}}"
Don Frye,1657.2668056032471,"{'February 16, 1996': {'opponent': 'Gary Goodridge', 'result': 1}, 'May 17, 1996': {'opponent': 'Amaury Bitetti', 'result': 1}, 'July 12, 1996': {'opponent': 'Brian Johnston', 'result': 1}, 'December 07, 1996': {'opponent': 'David Abbott', 'result': 1}}"
Thomas Ramirez,1470.939003057951,"{'February 16, 1996': {'opponent': 'Don Frye', 'result': 0}}"
Gary Goodridge,1509.7645063666682,"{'February 16, 1996': {'opponent': 'Don Frye', 'result': 0}, 'May 17, 1996': {'opponent': 'Mark Schultz', 'result': 0}, 'July 12, 1996': {'opponent': 'Mark Coleman', 'result': 0}, 'December 07, 1996': {'opponent': 'Don Frye', 'result': 0}, 'March 05, 1999': {'opponent': 'Andre Roberts', 'result': 1}}"
Paul Herrera,1470.939003057951,"{'February 16, 1996': {'opponent': 'Gary Goodridge', 'result': 0}}"
Sam Adkins,1448.9276459209289,"{'February 16, 1996': {'opponent': 'Don Frye', 'result': 0}, 'September 20, 1996': {'opponent': 'David Abbott', 'result': 0}}"
Jerry Bohlander,1559.7052864918905,"{'February 16, 1996': {'opponent': 'Gary Goodridge', 'result': 0}, 'September 20, 1996': {'opponent': 'Fabio Gurgel', 'result': 1}, 'February 07, 1997': {'opponent': 'Nick Sanzo', 'result': 1}, 'March 13, 1998': {'opponent': 'Kevin Jackson', 'result': 1}, 'January 08, 1999': {'opponent': 'Tito Ortiz', 'result': 0}}"
Scott Ferrozzo,1510.414847963923,"{'February 16, 1996': {'opponent': 'Jerry Bohlander', 'result': 0}, 'September 20, 1996': {'opponent': 'David Abbott', 'result': 1}, 'February 07, 1997': {'opponent': 'Vitor Belfort', 'result': 0}}"
Joe Moreira,1506.023682190404,"{'February 16, 1996': {'opponent': 'Paul Varelans', 'result': 0}, 'July 27, 1997': {'opponent': 'Yuri Vaulin', 'result': 1}}"
Mark Schultz,1535.1215574950236,"{'May 17, 1996': {'opponent': 'Gary Goodridge', 'result': 1}}"
Rafael Carino,1532.0,"{'May 17, 1996': {'opponent': 'Matt Andersen', 'result': 1}}"
Matt Andersen,1470.939003057951,"{'May 17, 1996': {'opponent': 'Rafael Carino', 'result': 0}}"
Zane Frazier,1468.4604852293792,"{'May 17, 1996': {'opponent': 'Cal Worsham', 'result': 0}}"
Koji Kitao,1471.3950012908456,"{'May 17, 1996': {'opponent': 'Mark Hall', 'result': 0}}"
Amaury Bitetti,1512.2996292319654,"{'May 17, 1996': {'opponent': 'Don Frye', 'result': 0}, 'June 09, 2000': {'opponent': 'Alex Andrade', 'result': 1}}"
Steve Nelmark,1500.9207797866238,"{'May 17, 1996': {'opponent': 'Tai Bowden', 'result': 1}, 'December 07, 1996': {'opponent': 'David Abbott', 'result': 0}}"
Tai Bowden,1470.939003057951,"{'May 17, 1996': {'opponent': 'Steve Nelmark', 'result': 0}}"
Geza Kalman,1532.0,"{'July 12, 1996': {'opponent': 'Dieusel Berto', 'result': 1}}"
Dieusel Berto,1470.939003057951,"{'July 12, 1996': {'opponent': 'Geza Kalman', 'result': 0}}"
Brian Johnston,1490.0305862820805,"{'July 12, 1996': {'opponent': 'Don Frye', 'result': 0}, 'September 20, 1996': {'opponent': 'Mark Coleman', 'result': 0}, 'December 07, 1996': {'opponent': 'Ken Shamrock', 'result': 0}, 'July 27, 1997': {'opponent': 'Dan Bobish', 'result': 0}}"
Scott Fiedler,1470.939003057951,"{'July 12, 1996': {'opponent': 'Brian Johnston', 'result': 0}}"
John Campetella,1469.6563795770348,"{'July 12, 1996': {'opponent': 'Gary Goodridge', 'result': 0}}"
