fighter,elo,record
Chris Wilson,1483.402589135763,"{'March 01, 2008': {'opponent': 'Jon Fitch', 'result': 0}, 'August 09, 2008': {'opponent': 'Steve Bruno', 'result': 1}, 'January 31, 2009': {'opponent': 'John Howard', 'result': 0}, 'September 16, 2009': {'opponent': 'Mike Pyle', 'result': 0}}"
Samy Schiavo,1439.5247572999924,"{'April 02, 2008': {'opponent': 'Clay Guida', 'result': 0}, 'October 18, 2008': {'opponent': 'Per Eklund', 'result': 0}}"
Ryan Roberts,1469.472613587044,"{'April 02, 2008': {'opponent': 'Marcus Aurelio', 'result': 0}}"
Cain Velasquez,1649.6846223597709,"{'April 19, 2008': {'opponent': 'Brad Morris', 'result': 1}, 'July 19, 2008': {'opponent': ""Jake O'Brien"", 'result': 1}, 'February 07, 2009': {'opponent': 'Denis Stojnic', 'result': 1}, 'June 13, 2009': {'opponent': 'Cheick Kongo', 'result': 1}, 'October 24, 2009': {'opponent': 'Ben Rothwell', 'result': 1}, 'February 20, 2010': {'opponent': 'Antonio Rodrigo Nogueira', 'result': 1}, 'October 23, 2010': {'opponent': 'Brock Lesnar', 'result': 1}, 'November 12, 2011': {'opponent': 'Junior Dos Santos', 'result': 0}, 'May 26, 2012': {'opponent': 'Antonio Silva', 'result': 1}, 'December 29, 2012': {'opponent': 'Junior Dos Santos', 'result': 1}, 'May 25, 2013': {'opponent': 'Antonio Silva', 'result': 1}, 'October 19, 2013': {'opponent': 'Junior Dos Santos', 'result': 1}, 'June 13, 2015': {'opponent': 'Fabricio Werdum', 'result': 0}, 'July 09, 2016': {'opponent': 'Travis Browne', 'result': 1}, 'February 17, 2019': {'opponent': 'Francis Ngannou', 'result': 0}}"
Brad Morris,1444.2373878626697,"{'April 19, 2008': {'opponent': 'Cain Velasquez', 'result': 0}, 'September 17, 2008': {'opponent': 'Jason Brilz', 'result': 0}}"
Jason Day,1495.0474279954678,"{'April 19, 2008': {'opponent': 'Alan Belcher', 'result': 1}, 'June 07, 2008': {'opponent': 'Michael Bisping', 'result': 0}, 'March 07, 2009': {'opponent': 'Kendall Grove', 'result': 0}}"
Shane Carwin,1565.0715062078125,"{'May 24, 2008': {'opponent': 'Christian Wellisch', 'result': 1}, 'October 18, 2008': {'opponent': 'Neil Wain', 'result': 1}, 'March 07, 2009': {'opponent': 'Gabriel Gonzaga', 'result': 1}, 'March 27, 2010': {'opponent': 'Frank Mir', 'result': 1}, 'July 03, 2010': {'opponent': 'Brock Lesnar', 'result': 0}, 'June 11, 2011': {'opponent': 'Junior Dos Santos', 'result': 0}}"
Dong Hyun Kim,1630.1037170381217,"{'May 24, 2008': {'opponent': 'Jason Tan', 'result': 1}, 'September 06, 2008': {'opponent': 'Matt Brown', 'result': 1}, 'January 31, 2009': {'opponent': 'Karo Parisyan', 'result': 0.5}, 'July 11, 2009': {'opponent': 'TJ Grant', 'result': 1}, 'May 29, 2010': {'opponent': 'Amir Sadollah', 'result': 1}, 'January 01, 2011': {'opponent': 'Nate Diaz', 'result': 1}, 'July 02, 2011': {'opponent': 'Carlos Condit', 'result': 0}, 'December 30, 2011': {'opponent': 'Sean Pierson', 'result': 1}, 'July 07, 2012': {'opponent': 'Demian Maia', 'result': 0}, 'November 10, 2012': {'opponent': 'Paulo Thiago', 'result': 1}, 'March 02, 2013': {'opponent': 'Siyar Bahadurzada', 'result': 1}, 'October 09, 2013': {'opponent': 'Erick Silva', 'result': 1}, 'March 01, 2014': {'opponent': 'John Hathaway', 'result': 1}, 'August 23, 2014': {'opponent': 'Tyron Woodley', 'result': 0}, 'May 23, 2015': {'opponent': 'Joshua Burkman', 'result': 1}, 'November 28, 2015': {'opponent': 'Dominic Waters', 'result': 1}, 'December 30, 2016': {'opponent': 'Tarec Saffiedine', 'result': 1}, 'June 17, 2017': {'opponent': 'Colby Covington', 'result': 0}}"
Yoshiyuki Yoshida,1491.8404113890233,"{'May 24, 2008': {'opponent': 'War Machine', 'result': 1}, 'December 10, 2008': {'opponent': 'Josh Koscheck', 'result': 0}, 'May 23, 2009': {'opponent': 'Brandon Wolff', 'result': 1}, 'October 24, 2009': {'opponent': 'Anthony Johnson', 'result': 0}, 'May 08, 2010': {'opponent': 'Mike Guymon', 'result': 0}}"
Antonio Mendes,1448.2205229212361,"{'May 24, 2008': {'opponent': 'Thiago Silva', 'result': 0}, 'January 17, 2009': {'opponent': 'Eric Schafer', 'result': 0}}"
Goran Reljic,1478.8948626301667,"{'May 24, 2008': {'opponent': 'Wilson Gouveia', 'result': 1}, 'February 20, 2010': {'opponent': 'CB Dollaway', 'result': 0}, 'July 03, 2010': {'opponent': 'Kendall Grove', 'result': 0}, 'November 13, 2010': {'opponent': 'Krzysztof Soszynski', 'result': 0}}"
Rousimar Palhares,1562.4015654379837,"{'May 24, 2008': {'opponent': 'Ivan Salaverry', 'result': 1}, 'September 06, 2008': {'opponent': 'Dan Henderson', 'result': 0}, 'January 17, 2009': {'opponent': 'Jeremy Horn', 'result': 1}, 'December 12, 2009': {'opponent': 'Lucio Linhares', 'result': 1}, 'March 27, 2010': {'opponent': 'Tomasz Drwal', 'result': 1}, 'September 15, 2010': {'opponent': 'Nate Marquardt', 'result': 0}, 'March 03, 2011': {'opponent': 'David Branch', 'result': 1}, 'August 27, 2011': {'opponent': 'Dan Miller', 'result': 1}, 'January 14, 2012': {'opponent': 'Mike Massenzio', 'result': 1}, 'May 05, 2012': {'opponent': 'Alan Belcher', 'result': 0}, 'December 14, 2012': {'opponent': 'Hector Lombard', 'result': 0}, 'October 09, 2013': {'opponent': 'Mike Pierce', 'result': 1}}"
Kevin Burns,1509.6930745042384,"{'June 07, 2008': {'opponent': 'Roan Carneiro', 'result': 1}, 'July 19, 2008': {'opponent': 'Anthony Johnson', 'result': 1}, 'December 13, 2008': {'opponent': 'Anthony Johnson', 'result': 0}, 'June 20, 2009': {'opponent': 'Chris Lytle', 'result': 0}, 'December 12, 2009': {'opponent': 'TJ Grant', 'result': 0}}"
Rob Kimmons,1480.4911135227005,"{'June 21, 2008': {'opponent': 'Rob Yundt', 'result': 1}, 'September 17, 2008': {'opponent': 'Dan Miller', 'result': 0}, 'April 01, 2009': {'opponent': 'Joe Vedepo', 'result': 1}, 'October 24, 2009': {'opponent': 'Jorge Rivera', 'result': 0}, 'August 01, 2010': {'opponent': 'Steve Steinbeiss', 'result': 1}, 'November 13, 2010': {'opponent': 'Kyle Noke', 'result': 0}, 'March 03, 2011': {'opponent': 'Dongi Yang', 'result': 0}}"
Amir Sadollah,1511.7422806173288,"{'June 21, 2008': {'opponent': 'CB Dollaway', 'result': 1}, 'August 08, 2009': {'opponent': 'Johny Hendricks', 'result': 0}, 'November 21, 2009': {'opponent': 'Phil Baroni', 'result': 1}, 'January 11, 2010': {'opponent': 'Brad Blackburn', 'result': 1}, 'May 29, 2010': {'opponent': 'Dong Hyun Kim', 'result': 0}, 'November 13, 2010': {'opponent': 'Peter Sobotta', 'result': 1}, 'March 26, 2011': {'opponent': 'DaMarques Johnson', 'result': 1}, 'August 14, 2011': {'opponent': 'Duane Ludwig', 'result': 0}, 'May 15, 2012': {'opponent': 'Jorge Lopez', 'result': 1}, 'September 29, 2012': {'opponent': 'Dan Hardy', 'result': 0}, 'September 20, 2014': {'opponent': 'Yoshihiro Akiyama', 'result': 0}}"
CB Dollaway,1535.951210249652,"{'June 21, 2008': {'opponent': 'Amir Sadollah', 'result': 0}, 'July 19, 2008': {'opponent': 'Jesse Taylor', 'result': 1}, 'December 27, 2008': {'opponent': 'Mike Massenzio', 'result': 1}, 'July 11, 2009': {'opponent': 'Tom Lawlor', 'result': 0}, 'September 16, 2009': {'opponent': 'Jay Silva', 'result': 1}, 'February 20, 2010': {'opponent': 'Goran Reljic', 'result': 1}, 'September 25, 2010': {'opponent': 'Joe Doerksen', 'result': 1}, 'March 03, 2011': {'opponent': 'Mark Munoz', 'result': 0}, 'August 14, 2011': {'opponent': 'Jared Hamman', 'result': 0}, 'May 26, 2012': {'opponent': 'Jason Miller', 'result': 1}, 'January 19, 2013': {'opponent': 'Daniel Sarafian', 'result': 1}, 'October 19, 2013': {'opponent': 'Tim Boetsch', 'result': 0}, 'March 23, 2014': {'opponent': 'Cezar Ferreira', 'result': 1}, 'May 31, 2014': {'opponent': 'Francis Carmont', 'result': 1}, 'December 20, 2014': {'opponent': 'Lyoto Machida', 'result': 0}, 'April 25, 2015': {'opponent': 'Michael Bisping', 'result': 0}, 'December 19, 2015': {'opponent': 'Nate Marquardt', 'result': 0}, 'July 07, 2017': {'opponent': 'Ed Herman', 'result': 1}, 'March 03, 2018': {'opponent': 'Hector Lombard', 'result': 1}, 'September 15, 2018': {'opponent': 'Khalid Murtazaliev', 'result': 0}}"
Matthew Riddle,1572.2290464521786,"{'June 21, 2008': {'opponent': 'Dante Rivera', 'result': 1}, 'February 07, 2009': {'opponent': 'Steve Bruno', 'result': 1}, 'August 08, 2009': {'opponent': 'Dan Cramer', 'result': 1}, 'November 14, 2009': {'opponent': 'Nick Osipczak', 'result': 0}, 'March 27, 2010': {'opponent': 'Greg Soto', 'result': 1}, 'August 01, 2010': {'opponent': 'DaMarques Johnson', 'result': 1}, 'December 11, 2010': {'opponent': 'Sean Pierson', 'result': 0}, 'September 17, 2011': {'opponent': 'Lance Benoist', 'result': 0}, 'February 04, 2012': {'opponent': 'Henry Martinez', 'result': 1}, 'July 21, 2012': {'opponent': 'Chris Clements', 'result': 0.5}, 'November 17, 2012': {'opponent': 'John Maguire', 'result': 1}, 'February 16, 2013': {'opponent': 'Che Mills', 'result': 0.5}}"
Dante Rivera,1470.939003057951,"{'June 21, 2008': {'opponent': 'Matthew Riddle', 'result': 0}}"
Matt Brown,1549.274209276056,"{'June 21, 2008': {'opponent': 'Matt Arroyo', 'result': 1}, 'September 06, 2008': {'opponent': 'Dong Hyun Kim', 'result': 0}, 'November 15, 2008': {'opponent': 'Ryan Thomas', 'result': 1}, 'March 07, 2009': {'opponent': 'Pete Sell', 'result': 1}, 'November 14, 2009': {'opponent': 'James Wilks', 'result': 1}, 'March 27, 2010': {'opponent': 'Ricardo Almeida', 'result': 0}, 'July 03, 2010': {'opponent': 'Chris Lytle', 'result': 0}, 'November 20, 2010': {'opponent': 'Brian Foster', 'result': 0}, 'June 26, 2011': {'opponent': 'John Howard', 'result': 1}, 'November 19, 2011': {'opponent': 'Seth Baczynski', 'result': 0}, 'February 04, 2012': {'opponent': 'Chris Cope', 'result': 1}, 'April 21, 2012': {'opponent': 'Stephen Thompson', 'result': 1}, 'June 22, 2012': {'opponent': 'Luis Ramos', 'result': 1}, 'December 08, 2012': {'opponent': 'Mike Swick', 'result': 1}, 'April 20, 2013': {'opponent': 'Jordan Mein', 'result': 1}, 'August 17, 2013': {'opponent': 'Mike Pyle', 'result': 1}, 'May 10, 2014': {'opponent': 'Erick Silva', 'result': 1}, 'July 26, 2014': {'opponent': 'Robbie Lawler', 'result': 0}, 'March 14, 2015': {'opponent': 'Johny Hendricks', 'result': 0}, 'July 11, 2015': {'opponent': 'Tim Means', 'result': 1}, 'May 14, 2016': {'opponent': 'Demian Maia', 'result': 0}, 'July 30, 2016': {'opponent': 'Jake Ellenberger', 'result': 0}, 'December 10, 2016': {'opponent': 'Donald Cerrone', 'result': 0}, 'November 11, 2017': {'opponent': 'Diego Sanchez', 'result': 1}, 'December 14, 2019': {'opponent': 'Ben Saunders', 'result': 1}, 'May 16, 2020': {'opponent': 'Miguel Baeza', 'result': 0}, 'January 16, 2021': {'opponent': 'Carlos Condit', 'result': 0}}"
Brad Blackburn,1539.6816848659887,"{'July 19, 2008': {'opponent': 'James Giboo', 'result': 1}, 'December 27, 2008': {'opponent': 'Ryo Chonan', 'result': 1}, 'June 20, 2009': {'opponent': 'Edgar Garcia', 'result': 1}, 'January 11, 2010': {'opponent': 'Amir Sadollah', 'result': 0}, 'April 10, 2010': {'opponent': 'DaMarques Johnson', 'result': 0}}"
James Giboo,1470.939003057951,"{'July 19, 2008': {'opponent': 'Brad Blackburn', 'result': 0}}"
Shannon Gugerty,1490.322659277197,"{'July 19, 2008': {'opponent': 'Dale Hartt', 'result': 1}, 'October 25, 2008': {'opponent': 'Spencer Fisher', 'result': 0}, 'July 11, 2009': {'opponent': 'Matt Grice', 'result': 1}, 'November 14, 2009': {'opponent': 'Terry Etim', 'result': 0}, 'March 21, 2010': {'opponent': 'Clay Guida', 'result': 0}}"
Dale Hartt,1489.2366894496874,"{'July 19, 2008': {'opponent': 'Shannon Gugerty', 'result': 0}, 'December 10, 2008': {'opponent': 'Corey Hill', 'result': 1}, 'June 13, 2009': {'opponent': 'Dennis Siver', 'result': 0}}"
Nate Loughran,1502.939003057951,"{'July 19, 2008': {'opponent': 'Johnny Rees', 'result': 1}, 'December 10, 2008': {'opponent': 'Tim Credeur', 'result': 0}}"
Johnny Rees,1441.7008348094494,"{'July 19, 2008': {'opponent': 'Nate Loughran', 'result': 0}, 'December 10, 2008': {'opponent': 'Steve Bruno', 'result': 0}}"
Jesse Taylor,1499.4053182027549,"{'July 19, 2008': {'opponent': 'CB Dollaway', 'result': 0}, 'July 07, 2017': {'opponent': 'Dhiego Lima', 'result': 1}}"
Rory Markham,1490.5174224908112,"{'July 19, 2008': {'opponent': 'Brodie Farber', 'result': 1}, 'February 21, 2009': {'opponent': 'Dan Hardy', 'result': 0}, 'March 27, 2010': {'opponent': 'Nate Diaz', 'result': 0}}"
Brodie Farber,1443.1566966116416,"{'July 19, 2008': {'opponent': 'Rory Markham', 'result': 0}, 'December 10, 2008': {'opponent': 'Luigi Fioravanti', 'result': 0}}"
Tim Credeur,1544.5333817634012,"{'July 19, 2008': {'opponent': 'Cale Yarbrough', 'result': 1}, 'December 10, 2008': {'opponent': 'Nate Loughran', 'result': 1}, 'April 01, 2009': {'opponent': 'Nick Catone', 'result': 1}, 'September 16, 2009': {'opponent': 'Nate Quarry', 'result': 0}, 'June 04, 2011': {'opponent': 'Ed Herman', 'result': 0}}"
Cale Yarbrough,1470.939003057951,"{'July 19, 2008': {'opponent': 'Tim Credeur', 'result': 0}}"
Reese Andy,1451.2098791200604,"{'July 19, 2008': {'opponent': 'Brandon Vera', 'result': 0}, 'December 27, 2008': {'opponent': 'Matt Hamill', 'result': 0}}"
Steve Bruno,1488.0743764221736,"{'August 09, 2008': {'opponent': 'Chris Wilson', 'result': 0}, 'December 10, 2008': {'opponent': 'Johnny Rees', 'result': 1}, 'February 07, 2009': {'opponent': 'Matthew Riddle', 'result': 0}}"
Ryan Thomas,1445.7226435086964,"{'August 09, 2008': {'opponent': 'Ben Saunders', 'result': 0}, 'November 15, 2008': {'opponent': 'Matt Brown', 'result': 0}}"
Dan Evensen,1446.7057369050524,"{'August 09, 2008': {'opponent': 'Cheick Kongo', 'result': 0}, 'December 27, 2008': {'opponent': 'Pat Barry', 'result': 0}}"
Jon Jones,1776.2644445895935,"{'August 09, 2008': {'opponent': 'Andre Gusmao', 'result': 1}, 'January 31, 2009': {'opponent': 'Stephan Bonnar', 'result': 1}, 'July 11, 2009': {'opponent': ""Jake O'Brien"", 'result': 1}, 'December 05, 2009': {'opponent': 'Matt Hamill', 'result': 0}, 'March 21, 2010': {'opponent': 'Brandon Vera', 'result': 1}, 'August 01, 2010': {'opponent': 'Vladimir Matyushenko', 'result': 1}, 'February 05, 2011': {'opponent': 'Ryan Bader', 'result': 1}, 'March 19, 2011': {'opponent': 'Mauricio Rua', 'result': 1}, 'September 24, 2011': {'opponent': 'Quinton Jackson', 'result': 1}, 'December 10, 2011': {'opponent': 'Lyoto Machida', 'result': 1}, 'April 21, 2012': {'opponent': 'Rashad Evans', 'result': 1}, 'September 22, 2012': {'opponent': 'Vitor Belfort', 'result': 1}, 'April 27, 2013': {'opponent': 'Chael Sonnen', 'result': 1}, 'September 21, 2013': {'opponent': 'Alexander Gustafsson', 'result': 1}, 'April 26, 2014': {'opponent': 'Glover Teixeira', 'result': 1}, 'January 03, 2015': {'opponent': 'Daniel Cormier', 'result': 1}, 'April 23, 2016': {'opponent': 'Ovince Saint Preux', 'result': 1}, 'July 29, 2017': {'opponent': 'Daniel Cormier', 'result': 0.5}, 'December 29, 2018': {'opponent': 'Alexander Gustafsson', 'result': 1}, 'March 02, 2019': {'opponent': 'Anthony Smith', 'result': 1}, 'July 06, 2019': {'opponent': 'Thiago Santos', 'result': 1}, 'February 08, 2020': {'opponent': 'Dominick Reyes', 'result': 1}}"
Andre Gusmao,1447.9931387489314,"{'August 09, 2008': {'opponent': 'Jon Jones', 'result': 0}, 'May 23, 2009': {'opponent': 'Krzysztof Soszynski', 'result': 0}}"
Michael Patt,1446.561216262076,"{'September 06, 2008': {'opponent': 'Tim Boetsch', 'result': 0}, 'March 07, 2009': {'opponent': 'Brandon Vera', 'result': 0}}"
Dan Miller,1504.1436458421215,"{'September 17, 2008': {'opponent': 'Rob Kimmons', 'result': 1}, 'October 25, 2008': {'opponent': 'Matt Horwich', 'result': 1}, 'February 07, 2009': {'opponent': 'Jake Rosholt', 'result': 1}, 'May 23, 2009': {'opponent': 'Chael Sonnen', 'result': 0}, 'February 06, 2010': {'opponent': 'Demian Maia', 'result': 0}, 'May 29, 2010': {'opponent': 'Michael Bisping', 'result': 0}, 'August 28, 2010': {'opponent': 'John Salter', 'result': 1}, 'December 11, 2010': {'opponent': 'Joe Doerksen', 'result': 1}, 'March 19, 2011': {'opponent': 'Nate Marquardt', 'result': 0}, 'August 27, 2011': {'opponent': 'Rousimar Palhares', 'result': 0}, 'June 22, 2012': {'opponent': 'Ricardo Funch', 'result': 1}, 'March 16, 2013': {'opponent': 'Jordan Mein', 'result': 0}, 'July 12, 2015': {'opponent': 'Trevor Smith', 'result': 0}}"
Mike Massenzio,1460.6335074863719,"{'September 17, 2008': {'opponent': 'Drew McFedries', 'result': 1}, 'December 27, 2008': {'opponent': 'CB Dollaway', 'result': 0}, 'August 01, 2010': {'opponent': 'Brian Stann', 'result': 0}, 'June 11, 2011': {'opponent': 'Krzysztof Soszynski', 'result': 0}, 'October 08, 2011': {'opponent': 'Steve Cantwell', 'result': 1}, 'January 14, 2012': {'opponent': 'Rousimar Palhares', 'result': 0}, 'May 05, 2012': {'opponent': 'Karlos Vemola', 'result': 0}}"
Jason Brilz,1513.7635719781192,"{'September 17, 2008': {'opponent': 'Brad Morris', 'result': 1}, 'March 07, 2009': {'opponent': 'Tim Boetsch', 'result': 1}, 'September 19, 2009': {'opponent': 'Eliot Marshall', 'result': 0}, 'March 21, 2010': {'opponent': 'Eric Schafer', 'result': 1}, 'May 29, 2010': {'opponent': 'Rogerio Nogueira', 'result': 0}, 'April 30, 2011': {'opponent': 'Vladimir Matyushenko', 'result': 0}, 'November 19, 2011': {'opponent': 'Ryan Bader', 'result': 0}}"
Joe Vedepo,1441.537175737908,"{'September 17, 2008': {'opponent': 'Alessio Sakara', 'result': 0}, 'April 01, 2009': {'opponent': 'Rob Kimmons', 'result': 0}}"
Jim Miller,1567.8878131049999,"{'October 18, 2008': {'opponent': 'David Baron', 'result': 1}, 'December 10, 2008': {'opponent': 'Matt Wiman', 'result': 1}, 'March 07, 2009': {'opponent': 'Gray Maynard', 'result': 0}, 'July 11, 2009': {'opponent': 'Mac Danzig', 'result': 1}, 'September 19, 2009': {'opponent': 'Steve Lopez', 'result': 1}, 'January 02, 2010': {'opponent': 'Duane Ludwig', 'result': 1}, 'March 27, 2010': {'opponent': 'Mark Bocek', 'result': 1}, 'September 15, 2010': {'opponent': 'Gleison Tibau', 'result': 1}, 'December 11, 2010': {'opponent': 'Charles Oliveira', 'result': 1}, 'March 19, 2011': {'opponent': 'Kamal Shalorus', 'result': 1}, 'August 14, 2011': {'opponent': 'Benson Henderson', 'result': 0}, 'January 20, 2012': {'opponent': 'Melvin Guillard', 'result': 1}, 'May 05, 2012': {'opponent': 'Nate Diaz', 'result': 0}, 'December 29, 2012': {'opponent': 'Joe Lauzon', 'result': 1}, 'April 27, 2013': {'opponent': 'Pat Healy', 'result': 0.5}, 'December 28, 2013': {'opponent': 'Fabricio Camoes', 'result': 1}, 'April 26, 2014': {'opponent': 'Yancy Medeiros', 'result': 1}, 'July 16, 2014': {'opponent': 'Donald Cerrone', 'result': 0}, 'April 18, 2015': {'opponent': 'Beneil Dariush', 'result': 0}, 'July 25, 2015': {'opponent': 'Danny Castillo', 'result': 1}, 'December 10, 2015': {'opponent': 'Michael Chiesa', 'result': 0}, 'March 05, 2016': {'opponent': 'Diego Sanchez', 'result': 0}, 'July 09, 2016': {'opponent': 'Takanori Gomi', 'result': 1}, 'August 27, 2016': {'opponent': 'Joe Lauzon', 'result': 1}, 'November 12, 2016': {'opponent': 'Thiago Alves', 'result': 1}, 'February 11, 2017': {'opponent': 'Dustin Poirier', 'result': 0}, 'July 08, 2017': {'opponent': 'Anthony Pettis', 'result': 0}, 'October 28, 2017': {'opponent': 'Francisco Trinaldo', 'result': 0}, 'April 21, 2018': {'opponent': 'Dan Hooker', 'result': 0}, 'September 08, 2018': {'opponent': 'Alex White', 'result': 1}, 'December 15, 2018': {'opponent': 'Charles Oliveira', 'result': 0}, 'April 27, 2019': {'opponent': 'Jason Gonzalez', 'result': 1}, 'August 03, 2019': {'opponent': 'Clay Guida', 'result': 1}, 'February 15, 2020': {'opponent': 'Scott Holtzman', 'result': 0}, 'June 20, 2020': {'opponent': 'Roosevelt Roberts', 'result': 1}, 'August 15, 2020': {'opponent': 'Vinc Pichel', 'result': 0}}"
David Baron,1470.939003057951,"{'October 18, 2008': {'opponent': 'Jim Miller', 'result': 0}}"
Neil Wain,1473.6505581992424,"{'October 18, 2008': {'opponent': 'Shane Carwin', 'result': 0}}"
Dan Hardy,1569.3646090135812,"{'October 18, 2008': {'opponent': 'Akihiro Gono', 'result': 1}, 'February 21, 2009': {'opponent': 'Rory Markham', 'result': 1}, 'June 13, 2009': {'opponent': 'Marcus Davis', 'result': 1}, 'November 14, 2009': {'opponent': 'Mike Swick', 'result': 1}, 'March 27, 2010': {'opponent': 'Georges St-Pierre', 'result': 0}, 'October 16, 2010': {'opponent': 'Carlos Condit', 'result': 0}, 'March 26, 2011': {'opponent': 'Anthony Johnson', 'result': 0}, 'August 14, 2011': {'opponent': 'Chris Lytle', 'result': 0}, 'May 26, 2012': {'opponent': 'Duane Ludwig', 'result': 1}, 'September 29, 2012': {'opponent': 'Amir Sadollah', 'result': 1}}"
Matt Horwich,1444.976229845558,"{'October 25, 2008': {'opponent': 'Dan Miller', 'result': 0}, 'April 01, 2009': {'opponent': 'Ricardo Almeida', 'result': 0}}"
Junior Dos Santos,1597.4850022419005,"{'October 25, 2008': {'opponent': 'Fabricio Werdum', 'result': 1}, 'February 21, 2009': {'opponent': 'Stefan Struve', 'result': 1}, 'September 19, 2009': {'opponent': 'Mirko Filipovic', 'result': 1}, 'January 02, 2010': {'opponent': 'Gilbert Yvel', 'result': 1}, 'March 21, 2010': {'opponent': 'Gabriel Gonzaga', 'result': 1}, 'August 07, 2010': {'opponent': 'Roy Nelson', 'result': 1}, 'June 11, 2011': {'opponent': 'Shane Carwin', 'result': 1}, 'November 12, 2011': {'opponent': 'Cain Velasquez', 'result': 1}, 'May 26, 2012': {'opponent': 'Frank Mir', 'result': 1}, 'December 29, 2012': {'opponent': 'Cain Velasquez', 'result': 0}, 'May 25, 2013': {'opponent': 'Mark Hunt', 'result': 1}, 'October 19, 2013': {'opponent': 'Cain Velasquez', 'result': 0}, 'December 13, 2014': {'opponent': 'Stipe Miocic', 'result': 1}, 'December 19, 2015': {'opponent': 'Alistair Overeem', 'result': 0}, 'April 10, 2016': {'opponent': 'Ben Rothwell', 'result': 1}, 'May 13, 2017': {'opponent': 'Stipe Miocic', 'result': 0}, 'July 14, 2018': {'opponent': 'Blagoy Ivanov', 'result': 1}, 'December 01, 2018': {'opponent': 'Tai Tuivasa', 'result': 1}, 'March 09, 2019': {'opponent': 'Derrick Lewis', 'result': 1}, 'June 29, 2019': {'opponent': 'Francis Ngannou', 'result': 0}, 'January 25, 2020': {'opponent': 'Curtis Blaydes', 'result': 0}, 'August 15, 2020': {'opponent': 'Jairzinho Rozenstruik', 'result': 0}, 'December 12, 2020': {'opponent': 'Ciryl Gane', 'result': 0}}"
Josh Hendricks,1475.4153026722404,"{'November 15, 2008': {'opponent': 'Gabriel Gonzaga', 'result': 0}}"
Rafael Dos Anjos,1612.9811083465834,"{'November 15, 2008': {'opponent': 'Jeremy Stephens', 'result': 0}, 'April 01, 2009': {'opponent': 'Tyson Griffin', 'result': 0}, 'September 19, 2009': {'opponent': 'Rob Emerson', 'result': 1}, 'January 11, 2010': {'opponent': 'Kyle Bradley', 'result': 1}, 'April 10, 2010': {'opponent': 'Terry Etim', 'result': 1}, 'August 07, 2010': {'opponent': 'Clay Guida', 'result': 0}, 'July 02, 2011': {'opponent': 'George Sotiropoulos', 'result': 1}, 'November 19, 2011': {'opponent': 'Gleison Tibau', 'result': 0}, 'May 15, 2012': {'opponent': 'Kamal Shalorus', 'result': 1}, 'July 11, 2012': {'opponent': 'Anthony Njokuani', 'result': 1}, 'November 17, 2012': {'opponent': 'Mark Bocek', 'result': 1}, 'May 18, 2013': {'opponent': 'Evan Dunham', 'result': 1}, 'August 28, 2013': {'opponent': 'Donald Cerrone', 'result': 1}, 'April 19, 2014': {'opponent': 'Khabib Nurmagomedov', 'result': 0}, 'June 07, 2014': {'opponent': 'Jason High', 'result': 1}, 'August 23, 2014': {'opponent': 'Benson Henderson', 'result': 1}, 'December 13, 2014': {'opponent': 'Nate Diaz', 'result': 1}, 'March 14, 2015': {'opponent': 'Anthony Pettis', 'result': 1}, 'December 19, 2015': {'opponent': 'Donald Cerrone', 'result': 1}, 'July 07, 2016': {'opponent': 'Eddie Alvarez', 'result': 0}, 'November 05, 2016': {'opponent': 'Tony Ferguson', 'result': 0}, 'June 17, 2017': {'opponent': 'Tarec Saffiedine', 'result': 1}, 'September 09, 2017': {'opponent': 'Neil Magny', 'result': 1}, 'December 16, 2017': {'opponent': 'Robbie Lawler', 'result': 1}, 'June 09, 2018': {'opponent': 'Colby Covington', 'result': 0}, 'November 30, 2018': {'opponent': 'Kamaru Usman', 'result': 0}, 'May 18, 2019': {'opponent': 'Kevin Lee', 'result': 1}, 'July 20, 2019': {'opponent': 'Leon Edwards', 'result': 0}, 'January 25, 2020': {'opponent': 'Michael Chiesa', 'result': 0}, 'November 14, 2020': {'opponent': 'Paul Felder', 'result': 1}}"
Steve Cantwell,1439.8973573780709,"{'December 10, 2008': {'opponent': 'Razak Al-Hassan', 'result': 1}, 'April 18, 2009': {'opponent': 'Luiz Cane', 'result': 0}, 'September 16, 2009': {'opponent': 'Brian Stann', 'result': 0}, 'March 03, 2011': {'opponent': 'Cyrille Diabate', 'result': 0}, 'October 08, 2011': {'opponent': 'Mike Massenzio', 'result': 0}, 'February 25, 2012': {'opponent': 'Riki Fukuda', 'result': 0}}"
Razak Al-Hassan,1441.7922291845796,"{'December 10, 2008': {'opponent': 'Steve Cantwell', 'result': 0}, 'October 24, 2009': {'opponent': 'Kyle Kingsbury', 'result': 0}}"
Brandon Wolff,1447.2235895206732,"{'December 10, 2008': {'opponent': 'Ben Saunders', 'result': 0}, 'May 23, 2009': {'opponent': 'Yoshiyuki Yoshida', 'result': 0}}"
Rolando Delgado,1484.757366234496,"{'December 13, 2008': {'opponent': 'John Polakowski', 'result': 1}, 'June 13, 2009': {'opponent': 'Paul Kelly', 'result': 0}, 'November 14, 2009': {'opponent': 'Andre Winner', 'result': 0}}"
John Polakowski,1470.939003057951,"{'December 13, 2008': {'opponent': 'Rolando Delgado', 'result': 0}}"
